mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,lat,lon,depth,quake_id
2.7,"3 km NNE of Sandy Valley, Nevada",1717577010156,1717577623503,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00878628,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00878628.geojson,1.0,2.0,,,automatic,0,112,nn,00878628,",nn00878628,",",nn,",",dyfi,origin,phase-data,",9.0,0.484,0.296,182.01000000000002,ml,earthquake,"M 2.7 - 3 km NNE of Sandy Valley, Nevada",35.8496,-115.615,0.0,nn00878628
4.32,"5 km N of Delta, B.C., MX",1717576962260,1717580703510,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614631,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614631.geojson,28.0,3.4,3.878,green,automatic,0,297,ci,40614631,",ew1717576970,ci40614631,us7000mqfu,",",ew,ci,us,",",dyfi,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",33.0,0.3213,0.26,209.0,mw,earthquake,"M 4.3 - 5 km N of Delta, B.C., MX",32.3969994,-115.1916656,29.2,ci40614631
5.1,"89 km W of Caconda, Angola",1717576944458,1717578092040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mqfy,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000mqfy.geojson,,,,,reviewed,0,400,us,7000mqfy,",us7000mqfy,",",us,",",origin,phase-data,",62.0,6.33,0.66,41.0,mb,earthquake,"M 5.1 - 89 km W of Caconda, Angola",-13.7175,14.232,10.0,us7000mqfy
0.64,"14 km ENE of Ridgecrest, CA",1717576648810,1717577398398,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614623,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614623.geojson,,,,,automatic,0,6,ci,40614623,",ci40614623,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.08724,0.13,114.0,ml,earthquake,"M 0.6 - 14 km ENE of Ridgecrest, CA",35.6736667,-117.5303333,7.02,ci40614623
0.77,"4 km NNE of Beaumont, CA",1717576388440,1717577169073,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614615,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614615.geojson,,,,,automatic,0,9,ci,40614615,",ci40614615,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",35.0,0.1304,0.11,51.0,ml,earthquake,"M 0.8 - 4 km NNE of Beaumont, CA",33.965,-116.9643333,9.42,ci40614615
2.3,"43 km SSE of Funny River, Alaska",1717575682469,1717575817203,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477s9i52,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477s9i52.geojson,,,,,automatic,0,81,ak,02477s9i52,",ak02477s9i52,",",ak,",",origin,phase-data,",,,0.7,,ml,earthquake,"M 2.3 - 43 km SSE of Funny River, Alaska",60.149,-150.4358,21.2,ak02477s9i52
1.0,"68 km WNW of Happy Valley, Alaska",1717575241811,1717575422447,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477s7yj9,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477s7yj9.geojson,,,,,automatic,0,15,ak,02477s7yj9,",ak02477s7yj9,",",ak,",",origin,phase-data,",,,0.74,,ml,earthquake,"M 1.0 - 68 km WNW of Happy Valley, Alaska",60.1158,-152.9054,88.0,ak02477s7yj9
1.95,"14 km S of Fern Forest, Hawaii",1717574656740,1717574814510,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74262741,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv74262741.geojson,,,,,automatic,0,58,hv,74262741,",hv74262741,",",hv,",",origin,phase-data,",52.0,0.04879,0.200000003,95.0,ml,earthquake,"M 2.0 - 14 km S of Fern Forest, Hawaii",19.3336658477783,-155.140670776367,0.360000014305115,hv74262741
1.5,"70 km ESE of Denali National Park, Alaska",1717574632264,1717574722119,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477s5pju,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477s5pju.geojson,,,,,automatic,0,35,ak,02477s5pju,",ak02477s5pju,",",ak,",",origin,phase-data,",,,0.11,,ml,earthquake,"M 1.5 - 70 km ESE of Denali National Park, Alaska",63.291,-150.4165,110.7,ak02477s5pju
1.8,"26 km SSE of Mina, Nevada",1717574300136,1717574465881,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00878626,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00878626.geojson,,,,,automatic,0,50,nn,00878626,",nn00878626,",",nn,",",origin,phase-data,",14.0,0.034,0.2629,111.94,ml,earthquake,"M 1.8 - 26 km SSE of Mina, Nevada",38.1902,-117.9431,5.1,nn00878626
4.3,"62 km WSW of San Carlos, Mexico",1717574101479,1717576503295,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mqfg,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000mqfg.geojson,3.0,5.4,,,reviewed,0,286,us,7000mqfg,",us7000mqfg,",",us,",",dyfi,origin,phase-data,",61.0,0.677,0.94,108.0,mb,earthquake,"M 4.3 - 62 km WSW of San Carlos, Mexico",27.7035,-111.6118,10.0,us7000mqfg
4.1,"16 km WNW of Uzunbağ, Turkey",1717573070764,1717578252040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mqff,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000mqff.geojson,,,,,reviewed,0,259,us,7000mqff,",us7000mqff,",",us,",",origin,phase-data,",35.0,0.835,1.06,57.0,mb,earthquake,"M 4.1 - 16 km WNW of Uzunbağ, Turkey",36.1789,35.862,10.0,us7000mqff
0.52,"13 km ESE of Anza, CA",1717572268270,1717572625947,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614599,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614599.geojson,,,,,automatic,0,4,ci,40614599,",ci40614599,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.04344,0.14,50.0,ml,earthquake,"M 0.5 - 13 km ESE of Anza, CA",33.4976667,-116.5503333,10.97,ci40614599
1.15,"3 km SE of The Geysers, CA",1717572026890,1717572125171,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016552,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016552.geojson,,,,,automatic,0,20,nc,75016552,",nc75016552,",",nc,",",nearby-cities,origin,phase-data,",12.0,0.005592,0.07,112.0,md,earthquake,"M 1.2 - 3 km SE of The Geysers, CA",38.7565002441406,-122.727836608887,1.98000001907349,nc75016552
0.97,"5 km WSW of Yucaipa, CA",1717572003870,1717572380925,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614591,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614591.geojson,,,,,automatic,0,14,ci,40614591,",ci40614591,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",53.0,0.02094,0.16,37.0,ml,earthquake,"M 1.0 - 5 km WSW of Yucaipa, CA",34.0208333,-117.0943333,8.77,ci40614591
1.07,"38 km N of Kernville, CA",1717571900180,1717572256914,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614583,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614583.geojson,,,,,automatic,0,18,ci,40614583,",ci40614583,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.08053,0.25,76.0,ml,earthquake,"M 1.1 - 38 km N of Kernville, CA",36.095,-118.3835,1.66,ci40614583
2.55,"2 km SE of Delta, B.C., MX",1717571463590,1717571860389,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614575,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614575.geojson,,,,,automatic,0,100,ci,40614575,",ci40614575,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.3671,0.35,221.0,ml,earthquake,"M 2.6 - 2 km SE of Delta, B.C., MX",32.3475,-115.1801667,3.79,ci40614575
0.75,"14 km N of Cabazon, CA",1717570770550,1717571176303,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614567,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614567.geojson,,,,,automatic,0,9,ci,40614567,",ci40614567,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.03228,0.13,185.0,ml,earthquake,"M 0.8 - 14 km N of Cabazon, CA",34.0415,-116.7696667,1.02,ci40614567
1.6,"28 km SSE of Cantwell, Alaska",1717570093256,1717570239390,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477r8ejx,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477r8ejx.geojson,,,,,automatic,0,39,ak,02477r8ejx,",ak02477r8ejx,",",ak,",",origin,phase-data,",,,0.67,,ml,earthquake,"M 1.6 - 28 km SSE of Cantwell, Alaska",63.1472,-148.7671,9.6,ak02477r8ejx
4.8,"77 km NE of Pototano, Indonesia",1717569018932,1717570104040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mqf9,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000mqf9.geojson,,,,,reviewed,0,354,us,7000mqf9,",us7000mqf9,",",us,",",origin,phase-data,",55.0,0.938,0.6,78.0,mb,earthquake,"M 4.8 - 77 km NE of Pototano, Indonesia",-7.9014,117.9609,205.968,us7000mqf9
1.6,"7 km WSW of Pawnee, Texas",1717568549740,1717571515722,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024kznh,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/tx2024kznh.geojson,,,,,automatic,0,39,tx,2024kznh,",tx2024kznh,",",tx,",",origin,phase-data,",7.0,0.0,0.8,151.0,ml,earthquake,"M 1.6 - 7 km WSW of Pawnee, Texas",28.627,-98.077,2.5577,tx2024kznh
5.0,"174 km W of Bengkulu, Indonesia",1717568383835,1717569801040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mqf7,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000mqf7.geojson,,,,,reviewed,0,385,us,7000mqf7,",us7000mqf7,",",us,",",origin,phase-data,",68.0,2.357,1.1,111.0,mb,earthquake,"M 5.0 - 174 km W of Bengkulu, Indonesia",-3.6255,100.7087,26.049,us7000mqf7
0.82,"6 km S of Idyllwild, CA",1717567866660,1717568247681,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614535,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614535.geojson,,,,,automatic,0,10,ci,40614535,",ci40614535,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",40.0,0.03172,0.14,61.0,ml,earthquake,"M 0.8 - 6 km S of Idyllwild, CA",33.682,-116.7293333,15.17,ci40614535
1.6,"44 km NE of Chase, Alaska",1717567459859,1717567583562,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477qyzk1,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477qyzk1.geojson,,,,,automatic,0,39,ak,02477qyzk1,",ak02477qyzk1,",",ak,",",origin,phase-data,",,,0.46,,ml,earthquake,"M 1.6 - 44 km NE of Chase, Alaska",62.7186,-149.469,71.9,ak02477qyzk1
4.6,"36 km NNE of Pucón, Chile",1717567246647,1717567960040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mqf3,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000mqf3.geojson,,,,,reviewed,0,326,us,7000mqf3,",us7000mqf3,",",us,",",origin,phase-data,",36.0,0.664,0.91,86.0,mb,earthquake,"M 4.6 - 36 km NNE of Pucón, Chile",-38.9725,-71.808,124.727,us7000mqf3
1.4,"9 km SE of Beckwourth, California",1717565849807,1717565973953,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00878624,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00878624.geojson,,,,,automatic,0,30,nn,00878624,",nn00878624,",",nn,",",origin,phase-data,",9.0,0.111,0.1994,174.24999999999997,ml,earthquake,"M 1.4 - 9 km SE of Beckwourth, California",39.7666,-120.2959,7.8,nn00878624
0.78,"23 km E of Little Lake, CA",1717565666470,1717566010221,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614511,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614511.geojson,,,,,automatic,0,9,ci,40614511,",ci40614511,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.01825,0.13,132.0,ml,earthquake,"M 0.8 - 23 km E of Little Lake, CA",35.9655,-117.6565,4.01,ci40614511
0.9,"65 km S of Cantwell, Alaska",1717565568072,1717565727138,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477qjm6f,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477qjm6f.geojson,,,,,automatic,0,12,ak,02477qjm6f,",ak02477qjm6f,",",ak,",",origin,phase-data,",,,0.58,,ml,earthquake,"M 0.9 - 65 km S of Cantwell, Alaska",62.8116,-148.7327,6.4,ak02477qjm6f
1.47,"8 km WNW of Redway, CA",1717565455810,1717565554287,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016537,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016537.geojson,,,,,automatic,0,33,nc,75016537,",nc75016537,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.02135,0.05,71.0,md,earthquake,"M 1.5 - 8 km WNW of Redway, CA",40.1253318786621,-123.918502807617,16.6399993896484,nc75016537
1.5,"70 km S of Cantwell, Alaska",1717565391472,1717565496234,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477qizaj,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477qizaj.geojson,,,,,automatic,0,35,ak,02477qizaj,",ak02477qizaj,",",ak,",",origin,phase-data,",,,0.39,,ml,earthquake,"M 1.5 - 70 km S of Cantwell, Alaska",62.7623,-148.8907,10.7,ak02477qizaj
1.8,"71 km S of Cantwell, Alaska",1717564798568,1717564914629,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477qguog,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477qguog.geojson,,,,,automatic,0,50,ak,02477qguog,",ak02477qguog,",",ak,",",origin,phase-data,",,,0.61,,ml,earthquake,"M 1.8 - 71 km S of Cantwell, Alaska",62.7548,-148.8167,7.2,ak02477qguog
2.9,"61 km S of Cantwell, Alaska",1717564433698,1717570374040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477qfjxw,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477qfjxw.geojson,,,,,automatic,0,129,ak,02477qfjxw,",us7000mqf0,ak02477qfjxw,",",us,ak,",",origin,phase-data,",,,0.87,,ml,earthquake,"M 2.9 - 61 km S of Cantwell, Alaska",62.8384,-148.9726,6.3,ak02477qfjxw
1.22,"1 km WSW of Anderson Springs, CA",1717564073520,1717564169201,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016527,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016527.geojson,,,,,automatic,0,23,nc,75016527,",nc75016527,",",nc,",",nearby-cities,origin,phase-data,",7.0,0.002474,0.01,111.0,md,earthquake,"M 1.2 - 1 km WSW of Anderson Springs, CA",38.7688331604004,-122.702331542969,1.88999998569489,nc75016527
1.5,"52 km SSE of Denali National Park, Alaska",1717563596150,1717563719732,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477q3zj3,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477q3zj3.geojson,,,,,automatic,0,35,ak,02477q3zj3,",ak02477q3zj3,",",ak,",",origin,phase-data,",,,1.53,,ml,earthquake,"M 1.5 - 52 km SSE of Denali National Park, Alaska",63.0888,-151.4448,1.6,ak02477q3zj3
0.76,"2 km ENE of The Geysers, CA",1717563089210,1717563184288,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016522,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016522.geojson,,,,,automatic,0,9,nc,75016522,",nc75016522,",",nc,",",nearby-cities,origin,phase-data,",7.0,0.004757,0.01,103.0,md,earthquake,"M 0.8 - 2 km ENE of The Geysers, CA",38.7879981994629,-122.736503601074,1.94000005722046,nc75016522
2.38,"7 km SW of Gilroy, CA",1717562923640,1717564738997,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016517,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016517.geojson,8.0,3.8,,,automatic,0,90,nc,75016517,",nc75016517,",",nc,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,",48.0,0.01682,0.22,38.0,md,earthquake,"M 2.4 - 7 km SW of Gilroy, CA",36.9541664123535,-121.602996826172,3.48000001907349,nc75016517
1.5,"11 km W of Houston, Alaska",1717561705229,1717561856593,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477px9y2,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477px9y2.geojson,,,,,automatic,0,35,ak,02477px9y2,",ak02477px9y2,",",ak,",",origin,phase-data,",,,0.36,,ml,earthquake,"M 1.5 - 11 km W of Houston, Alaska",61.6408,-150.0345,32.7,ak02477px9y2
2.2,"12 km SE of San Pedro, CA",1717560652720,1717563264424,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614479,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614479.geojson,1.0,2.0,,,automatic,0,75,ci,40614479,",ci40614479,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",33.0,0.1665,0.3,273.0,ml,earthquake,"M 2.2 - 12 km SE of San Pedro, CA",33.6596667,-118.2001667,27.5,ci40614479
1.34,"13 km NW of Grapevine, CA",1717560580080,1717560963437,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614463,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614463.geojson,,,,,automatic,0,28,ci,40614463,",ci40614463,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.1323,0.17,64.0,ml,earthquake,"M 1.3 - 13 km NW of Grapevine, CA",35.0333333,-119.027,15.57,ci40614463
1.2,"99 km E of McCarthy, Alaska",1717559947068,1717560081466,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477pig2b,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477pig2b.geojson,,,,,automatic,0,22,ak,02477pig2b,",ak02477pig2b,",",ak,",",origin,phase-data,",,,0.52,,ml,earthquake,"M 1.2 - 99 km E of McCarthy, Alaska",61.4974,-141.0663,0.0,ak02477pig2b
2.0,"50 km WNW of Akhiok, Alaska",1717559567888,1717559685020,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477ph19w,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477ph19w.geojson,,,,,automatic,0,62,ak,02477ph19w,",ak02477ph19w,",",ak,",",origin,phase-data,",,,0.97,,ml,earthquake,"M 2.0 - 50 km WNW of Akhiok, Alaska",57.0826,-154.9565,11.5,ak02477ph19w
1.6,"60 km NNE of Petersville, Alaska",1717559192910,1717559352958,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477pfptn,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477pfptn.geojson,,,,,automatic,0,39,ak,02477pfptn,",ak02477pfptn,",",ak,",",origin,phase-data,",,,0.32,,ml,earthquake,"M 1.6 - 60 km NNE of Petersville, Alaska",63.021,-150.459,108.0,ak02477pfptn
1.86,"26 km W of Petrolia, CA",1717558865460,1717558959541,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016502,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016502.geojson,,,,,automatic,0,53,nc,75016502,",nc75016502,",",nc,",",nearby-cities,origin,phase-data,",7.0,0.1835,0.08,316.0,md,earthquake,"M 1.9 - 26 km W of Petrolia, CA",40.2693328857422,-124.581169128418,23.5900001525879,nc75016502
1.3,"67 km WNW of Tyonek, Alaska",1717558625220,1717558690953,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477pdq8q,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477pdq8q.geojson,,,,,automatic,0,26,ak,02477pdq8q,",ak02477pdq8q,",",ak,",",origin,phase-data,",,,0.19,,ml,earthquake,"M 1.3 - 67 km WNW of Tyonek, Alaska",61.2744,-152.3152,12.0,ak02477pdq8q
2.1,"45 km SE of Cordova, Alaska",1717556420386,1717556553788,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477p5tx2,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477p5tx2.geojson,,,,,automatic,0,68,ak,02477p5tx2,",ak02477p5tx2,",",ak,",",origin,phase-data,",,,0.35,,ml,earthquake,"M 2.1 - 45 km SE of Cordova, Alaska",60.2347,-145.2093,20.5,ak02477p5tx2
0.6,"10 km NW of The Geysers, CA",1717556149320,1717556244304,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75016487,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75016487.geojson,,,,,automatic,0,6,nc,75016487,",nc75016487,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.003339,0.02,120.0,md,earthquake,"M 0.6 - 10 km NW of The Geysers, CA",38.8406677246094,-122.838836669922,1.35000002384186,nc75016487
0.71,"25 km SW of Ocotillo Wells, CA",1717555791910,1717556158602,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40614447,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40614447.geojson,,,,,automatic,0,8,ci,40614447,",ci40614447,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.0273,0.12,67.0,ml,earthquake,"M 0.7 - 25 km SW of Ocotillo Wells, CA",32.9801667,-116.315,9.47,ci40614447
1.3,"40 km SSE of Lovelock, Nevada",1717555591183,1717555763922,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00878617,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00878617.geojson,,,,,automatic,0,26,nn,00878617,",nn00878617,",",nn,",",origin,phase-data,",8.0,0.198,0.2115,138.39999999999998,ml,earthquake,"M 1.3 - 40 km SSE of Lovelock, Nevada",39.8319,-118.3373,6.1,nn00878617
2.7,"11 km ENE of Chickaloon, Alaska",1717555581829,1717567556442,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02477ou9dd,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak02477ou9dd.geojson,1.0,2.2,,,automatic,0,112,ak,02477ou9dd,",ak02477ou9dd,",",ak,",",dyfi,origin,phase-data,",,,0.6,,ml,earthquake,"M 2.7 - 11 km ENE of Chickaloon, Alaska",61.8394,-148.2703,22.9,ak02477ou9dd
